id,title,description,link,image_link,availability,price,brand,mpn,identifier_exists,google_product_category,product_type,condition,gender,age_group,color,size,shipping
BM-ART-20-1,"BahaMut Men Regular Fit Jeans - Art 20 (Wash 1)","BahaMut Men Regular Fit Jeans (Art 20, Wash 1). Crafted from 100% Ring-Spun Woven Cotton Denim engineered at Ahmedabad textile mills. Billed & fulfilled by DE VIBE, Ambawadi, Ahmedabad (GSTIN: 24ASHPS9777R1ZE). HSN 62034290.","https://bahamut.in/product/bm-art-20-1","https://bahamut.in/images/products/bahamut-22-1-selvedge.jpg",in_stock,1499.00 INR,BahaMut,BM-ART-20-1,no,1604,"Apparel & Accessories > Clothing > Pants > Jeans",new,male,adult,Indigo Denim,"30, 32",IN:::0.00 INR
BM-ART-20-1,"BahaMut Men Regular Fit Jeans - Art 21 (Wash 1)","BahaMut Men Regular Fit Jeans (Art 21, Wash 1). Crafted from 100% Ring-Spun Woven Cotton Denim engineered at Ahmedabad textile mills. Billed & fulfilled by DE VIBE, Ambawadi, Ahmedabad (GSTIN: 24ASHPS9777R1ZE). HSN 62034290.","https://bahamut.in/product/bm-art-21-1","https://bahamut.in/images/products/bm-art-21-1.jpg",in_stock,1499.00 INR,BahaMut,BM-ART-20-1,no,1604,"Apparel & Accessories > Clothing > Pants > Jeans",new,male,adult,Indigo Denim,"30, 32, 34, 36, 38",IN:::0.00 INR
BM-ART-21-1,"BahaMut Men Regular Fit Jeans - Art 21 (Wash 2)","BahaMut Men Regular Fit Jeans (Art 21, Wash 2). Crafted from 100% Ring-Spun Woven Cotton Denim engineered at Ahmedabad textile mills. Billed & fulfilled by DE VIBE, Ambawadi, Ahmedabad (GSTIN: 24ASHPS9777R1ZE). HSN 62034290.","https://bahamut.in/product/bm-art-21-2","https://bahamut.in/images/products/bm-art-21-2.jpg",in_stock,1499.00 INR,BahaMut,BM-ART-21-1,no,1604,"Apparel & Accessories > Clothing > Pants > Jeans",new,male,adult,Indigo Denim,"30, 32, 34, 36, 38",IN:::0.00 INR
BM-ART-21-2,"BahaMut Men Regular Fit Jeans - Art 21 (Wash 3)","BahaMut Men Regular Fit Jeans (Art 21, Wash 3). Crafted from 100% Ring-Spun Woven Cotton Denim engineered at Ahmedabad textile mills. Billed & fulfilled by DE VIBE, Ambawadi, Ahmedabad (GSTIN: 24ASHPS9777R1ZE). HSN 62034290.","https://bahamut.in/product/bm-art-21-3","https://bahamut.in/images/products/bm-art-21-3.jpg",in_stock,1499.00 INR,BahaMut,BM-ART-21-2,no,1604,"Apparel & Accessories > Clothing > Pants > Jeans",new,male,adult,Indigo Denim,"30, 32, 34, 36, 38",IN:::0.00 INR
BM-ART-21-3,"BahaMut Men Regular Fit Jeans - Art 22 (Wash 2)","BahaMut Men Regular Fit Jeans (Art 22, Wash 2). Crafted from 100% Ring-Spun Woven Cotton Denim engineered at Ahmedabad textile mills. Billed & fulfilled by DE VIBE, Ambawadi, Ahmedabad (GSTIN: 24ASHPS9777R1ZE). HSN 62034290.","https://bahamut.in/product/bm-art-22-2","https://bahamut.in/images/products/bm-art-22-2.jpg",in_stock,1499.00 INR,BahaMut,BM-ART-21-3,no,1604,"Apparel & Accessories > Clothing > Pants > Jeans",new,male,adult,Indigo Denim,"36",IN:::0.00 INR
BM-ART-22-2,"BahaMut Men Regular Fit Jeans - Art 23 (Wash 1)","BahaMut Men Regular Fit Jeans (Art 23, Wash 1). Crafted from 100% Ring-Spun Woven Cotton Denim engineered at Ahmedabad textile mills. Billed & fulfilled by DE VIBE, Ambawadi, Ahmedabad (GSTIN: 24ASHPS9777R1ZE). HSN 62034290.","https://bahamut.in/product/bm-art-23-1","https://bahamut.in/images/products/bm-art-23-1.jpg",in_stock,1499.00 INR,BahaMut,BM-ART-22-2,no,1604,"Apparel & Accessories > Clothing > Pants > Jeans",new,male,adult,Indigo Denim,"30, 32, 36, 38",IN:::0.00 INR
BM-ART-23-1,"BahaMut Men Regular Fit Jeans - Art 24 (Wash 1)","BahaMut Men Regular Fit Jeans (Art 24, Wash 1). Crafted from 100% Ring-Spun Woven Cotton Denim engineered at Ahmedabad textile mills. Billed & fulfilled by DE VIBE, Ambawadi, Ahmedabad (GSTIN: 24ASHPS9777R1ZE). HSN 62034290.","https://bahamut.in/product/bm-art-24-1","https://bahamut.in/images/products/bm-art-24-1.jpg",in_stock,1499.00 INR,BahaMut,BM-ART-23-1,no,1604,"Apparel & Accessories > Clothing > Pants > Jeans",new,male,adult,Indigo Denim,"28, 30, 32",IN:::0.00 INR
BM-ART-24-1,"BahaMut Men Regular Fit Jeans - Art 26 (Wash 1)","BahaMut Men Regular Fit Jeans (Art 26, Wash 1). Crafted from 100% Ring-Spun Woven Cotton Denim engineered at Ahmedabad textile mills. Billed & fulfilled by DE VIBE, Ambawadi, Ahmedabad (GSTIN: 24ASHPS9777R1ZE). HSN 62034290.","https://bahamut.in/product/bm-art-26-1","https://bahamut.in/images/products/bm-art-26-1.jpg",in_stock,1499.00 INR,BahaMut,BM-ART-24-1,no,1604,"Apparel & Accessories > Clothing > Pants > Jeans",new,male,adult,Indigo Denim,"32, 36",IN:::0.00 INR
BM-ART-26-1,"BahaMut Men Regular Fit Jeans - Art 27 (Wash 1)","BahaMut Men Regular Fit Jeans (Art 27, Wash 1). Crafted from 100% Ring-Spun Woven Cotton Denim engineered at Ahmedabad textile mills. Billed & fulfilled by DE VIBE, Ambawadi, Ahmedabad (GSTIN: 24ASHPS9777R1ZE). HSN 62034290.","https://bahamut.in/product/bm-art-27-1","https://bahamut.in/images/products/bm-art-27-1.jpg",in_stock,1499.00 INR,BahaMut,BM-ART-26-1,no,1604,"Apparel & Accessories > Clothing > Pants > Jeans",new,male,adult,Indigo Denim,"28, 30, 32",IN:::0.00 INR
BM-ART-27-1,"BahaMut Men Regular Fit Jeans - Art 27 (Wash 2)","BahaMut Men Regular Fit Jeans (Art 27, Wash 2). Crafted from 100% Ring-Spun Woven Cotton Denim engineered at Ahmedabad textile mills. Billed & fulfilled by DE VIBE, Ambawadi, Ahmedabad (GSTIN: 24ASHPS9777R1ZE). HSN 62034290.","https://bahamut.in/product/bm-art-27-2","https://bahamut.in/images/products/bahamut-27-1-denim.jpg",in_stock,1499.00 INR,BahaMut,BM-ART-27-1,no,1604,"Apparel & Accessories > Clothing > Pants > Jeans",new,male,adult,Indigo Denim,"28, 30, 32, 34",IN:::0.00 INR
